牡丹水庫,2018,臺灣南區,屏東縣牡丹鄉,1/6,137.24,2033.12,76.98 %
成功水庫,2018,澎湖地區,澎湖縣湖西鄉,1/6,5.42,29.08,24.03 %
興仁水庫,2018,澎湖地區,澎湖縣馬公巿,1/6,6.20,16.10,22.01 %
東衛水庫,2018,澎湖地區,澎湖縣馬公巿,1/6,2.40,0.80,2.3 %
西安水庫,2018,澎湖地區,澎湖縣望安鄉,1/6,10.80,13.20,57.12 %
七美水庫,2018,澎湖地區,澎湖縣七美鄉,1/6,18.70,0.22,0.78 %
石門水庫,2018,臺灣北區,桃園市龍潭區、大溪區、復興區,1/7,244.79,19730.44,99.09 %
西勢水庫,2018,臺灣北區,基隆巿暖暖區,1/7,71.57,38.78,88.76 %
新山水庫,2018,臺灣北區,基隆巿安樂區,1/7,85.76,963.00,96.11 %
翡翠水庫,2018,臺灣北區,新北市新店區,1/7,167.77,31472.17,93.81 %
寶山水庫,2018,臺灣北區,新竹縣寶山鄉,1/7,139.30,401.43,74.62 %
寶山第二水庫,2018,臺灣北區,新竹縣寶山鄉,1/7,135.94,1402.45,44.56 %
永和山水庫,2018,臺灣中區,苗栗縣頭份鎮、三灣鄉,1/7,72.70,1302.00,43.42 %
大埔水庫,2018,臺灣中區,新竹縣峨眉鄉,1/7,67.93,356.91,67.35 %
明德水庫,2018,臺灣中區,苗栗縣頭屋鄉,1/7,51.31,260.45,20.41 %
鯉魚潭水庫,2018,臺灣中區,苗栗縣卓蘭鎮大湖鄉,1/7,290.80,7897.51,68.69 %
德基水庫,2018,臺灣中區,臺中市和平區,1/7,1405.83,14190.72,94.6 %
石岡壩,2018,臺灣中區,臺中市石岡區,1/7,272.20,36.80,27.69 %
霧社水庫,2018,臺灣中區,南投縣仁愛鄉,1/7,1004.75,4301.92,98.53 %
日月潭水庫,2018,臺灣中區,南投縣魚池鄉,1/7,747.77,12350.98,95.53 %
仁義潭水庫,2018,臺灣南區,嘉義縣番路鄉,1/7,100.45,1534.85,60.62 %
蘭潭水庫,2018,臺灣南區,嘉義巿,1/7,71.17,613.72,66.29 %
白河水庫,2018,臺灣南區,臺南市白河區,1/7,104.00,65.00,9.41 %
烏山頭水庫,2018,臺灣南區,臺南市六甲區、官田區,1/7,55.20,5203.00,66.47 %
曾文水庫,2018,臺灣南區,嘉義縣大埔鄉,1/7,213.24,24313.00,52.56 %
南化水庫,2018,臺灣南區,臺南市南化區,1/7,174.62,6939.56,73.05 %
鏡面水庫,2018,臺灣南區,臺南市南化區,1/7,140.75,76.09,73.87 %
澄清湖水庫,2018,臺灣南區,高雄市鳥松區,1/7,17.76,258.00,98.12 %
阿公店水庫,2018,臺灣南區,高雄市燕巢區,1/7,35.87,1293.59,80.21 %
鳳山水庫,2018,臺灣南區,高雄市林園區,1/7,44.45,372.56,49.6 %
牡丹水庫,2018,臺灣南區,屏東縣牡丹鄉,1/7,137.19,2027.22,76.75 %
成功水庫,2018,澎湖地區,澎湖縣湖西鄉,1/7,5.42,29.08,24.03 %
興仁水庫,2018,澎湖地區,澎湖縣馬公巿,1/7,6.20,16.10,22.01 %
東衛水庫,2018,澎湖地區,澎湖縣馬公巿,1/7,2.40,0.80,2.3 %
西安水庫,2018,澎湖地區,澎湖縣望安鄉,1/7,10.80,13.20,57.12 %
七美水庫,2018,澎湖地區,澎湖縣七美鄉,1/7,18.70,0.22,0.78 %
石門水庫,2018,臺灣北區,桃園市龍潭區、大溪區、復興區,1/8,245.14,20034.39,100 %
西勢水庫,2018,臺灣北區,基隆巿暖暖區,1/8,72.08,43.69,100 %
新山水庫,2018,臺灣北區,基隆巿安樂區,1/8,85.88,969.00,96.71 %
翡翠水庫,2018,臺灣北區,新北市新店區,1/8,168.04,31713.94,94.53 %
寶山水庫,2018,臺灣北區,新竹縣寶山鄉,1/8,139.56,415.50,77.23 %
寶山第二水庫,2018,臺灣北區,新竹縣寶山鄉,1/8,137.18,1524.98,48.46 %
永和山水庫,2018,臺灣中區,苗栗縣頭份鎮、三灣鄉,1/8,73.22,1358.12,45.29 %
大埔水庫,2018,臺灣中區,新竹縣峨眉鄉,1/8,68.63,426.70,80.52 %
明德水庫,2018,臺灣中區,苗栗縣頭屋鄉,1/8,51.91,292.13,22.89 %
鯉魚潭水庫,2018,臺灣中區,苗栗縣卓蘭鎮大湖鄉,1/8,291.36,8093.09,70.39 %
德基水庫,2018,臺灣中區,臺中市和平區,1/8,1406.97,14654.08,97.69 %
石岡壩,2018,臺灣中區,臺中市石岡區,1/8,272.05,31.48,23.69 %
霧社水庫,2018,臺灣中區,南投縣仁愛鄉,1/8,1004.37,4205.41,96.32 %
日月潭水庫,2018,臺灣中區,南投縣魚池鄉,1/8,748.08,12601.98,97.47 %
仁義潭水庫,2018,臺灣南區,嘉義縣番路鄉,1/8,100.39,1522.45,60.13 %
蘭潭水庫,2018,臺灣南區,嘉義巿,1/8,71.20,615.79,66.51 %
白河水庫,2018,臺灣南區,臺南市白河區,1/8,104.00,65.00,9.41 %
烏山頭水庫,2018,臺灣南區,臺南市六甲區、官田區,1/8,55.13,5148.00,65.76 %
曾文水庫,2018,臺灣南區,嘉義縣大埔鄉,1/8,213.27,24354.00,52.64 %
南化水庫,2018,臺灣南區,臺南市南化區,1/8,174.64,6948.47,73.14 %
鏡面水庫,2018,臺灣南區,臺南市南化區,1/8,140.75,76.09,73.87 %
澄清湖水庫,2018,臺灣南區,高雄市鳥松區,1/8,17.76,258.00,98.12 %
阿公店水庫,2018,臺灣南區,高雄市燕巢區,1/8,35.87,1293.59,80.21 %
鳳山水庫,2018,臺灣南區,高雄市林園區,1/8,44.48,374.15,49.81 %
牡丹水庫,2018,臺灣南區,屏東縣牡丹鄉,1/8,137.14,2021.34,76.53 %
成功水庫,2018,澎湖地區,澎湖縣湖西鄉,1/8,5.42,29.08,24.03 %
興仁水庫,2018,澎湖地區,澎湖縣馬公巿,1/8,6.10,15.50,21.19 %
東衛水庫,2018,澎湖地區,澎湖縣馬公巿,1/8,2.40,0.80,2.3 %
西安水庫,2018,澎湖地區,澎湖縣望安鄉,1/8,10.80,13.20,57.12 %
七美水庫,2018,澎湖地區,澎湖縣七美鄉,1/8,18.60,0.20,0.69 %
石門水庫,2018,臺灣北區,桃園市龍潭區、大溪區、復興區,1/9,244.45,19438.07,97.62 %
西勢水庫,2018,臺灣北區,基隆巿暖暖區,1/9,72.08,43.69,100 %
新山水庫,2018,臺灣北區,基隆巿安樂區,1/9,85.83,966.50,96.46 %
翡翠水庫,2018,臺灣北區,新北市新店區,1/9,168.18,31839.65,94.9 %
寶山水庫,2018,臺灣北區,新竹縣寶山鄉,1/9,139.80,428.48,79.64 %
寶山第二水庫,2018,臺灣北區,新竹縣寶山鄉,1/9,138.56,1667.32,52.98 %
永和山水庫,2018,臺灣中區,苗栗縣頭份鎮、三灣鄉,1/9,73.64,1403.38,46.8 %
