選舉類型,選舉區,name,推薦之政黨,date of birth,號次
111年縣市議員選舉,新北市第5選舉區,曾煥嘉,中國國民黨,1976,3
111年縣市議員選舉,新北市第5選舉區,黃俊哲,民主進步黨,1978,16
111年縣市議員選舉,新北市第5選舉區,李婉鈺,無,1972,11
111年縣市議員選舉,新北市第5選舉區,戴瑋姍,民主進步黨,1990,6
111年縣市議員選舉,新北市第5選舉區,黃淑君,民主進步黨,1973,18
111年縣市議員選舉,新北市第5選舉區,石一佑,民主進步黨,1966,21
111年縣市議員選舉,新北市第5選舉區,張淑惠,小民參政歐巴桑聯盟,1971,10
111年縣市議員選舉,新北市第5選舉區,張家維,無,1973,19
111年縣市議員選舉,新北市第5選舉區,周勝考,中國國民黨,1956,8
111年縣市議員選舉,新北市第5選舉區,劉美芳,中國國民黨,1978,2
111年縣市議員選舉,新北市第5選舉區,阮橋本,無,1970,17
111年縣市議員選舉,新北市第5選舉區,彭盛韶,時代力量,1984,7
111年縣市議員選舉,新北市第5選舉區,陳玉鳳,中國和平統一黨,1972,13
111年縣市議員選舉,新北市第5選舉區,葉元之,中國國民黨,1974,14
111年縣市議員選舉,新北市第5選舉區,廖裕德,無黨團結聯盟,1951,20
111年縣市議員選舉,新北市第6選舉區,張維倩,民主進步黨,1985,8
