時間戳記,您的學校位於哪個縣市？,您屬於下列哪個年齡層？,您使用頻率最高的手機應用程式為？,您使用頻率第二高的手機應用程式為？,您使用頻率第三高的手機應用程式為？,您使用頻率第四高的手機應用程式為？,您使用頻率第五高的手機應用程式為？
2021/1/28 上午 1:19:56,桃園市,12 ～ 15 歲,IG,FB,Youtube,Messenger,Twitter
2021/1/28 下午 5:37:26,彰化縣,15 歲以上 ～ 18 歲,ig ,Messenger ,FB,微信,YouTube
2021/1/28 下午 8:21:34,苗栗縣,12 ～ 15 歲,傳說,Youtube,Google,流亡暗道,FB
2021/1/29 下午 4:19:15,花蓮縣,15 歲以上 ～ 18 歲,Ig,Line,Fb,小紅書,無
2021/1/29 下午 4:20:32,花蓮縣,15 歲以上 ～ 18 歲,哀居,YouTube ,Zenly ,Line,Fb
2021/1/29 下午 4:21:13,花蓮縣,15 歲以上 ～ 18 歲,google chrome,PUBG Mobile,決勝時刻,Instagram,Facebook
2021/1/29 下午 4:23:35,新北市,15 歲以上 ～ 18 歲,Youtube,Twitter,Facebook,Chrome,Google
2021/1/29 下午 4:36:30,基隆市,15 歲以上 ～ 18 歲,哀居,YouTube ,激鬥峽谷,抖音,Message
2021/1/29 下午 4:55:58,新北市,12 ～ 15 歲,YouTube,Ig,Fb,遊戲,音樂
2021/1/29 下午 5:11:15,花蓮縣,15 歲以上 ～ 18 歲,Intagram,youtube,line,Google,Dcard
2021/1/29 下午 5:11:53,花蓮縣,15 歲以上 ～ 18 歲,LINE,王者榮耀,IG,小紅書,訊息
2021/1/29 下午 5:12:10,花蓮縣,15 歲以上 ～ 18 歲,TikTok ,Instagrem,YouTube ,Line,Dcard
2021/1/29 下午 5:18:47,花蓮縣,15 歲以上 ～ 18 歲,youtube,netflix,google,instagram,Dcard
2021/1/29 下午 5:22:35,花蓮縣,15 歲以上 ～ 18 歲,IG,YOUTUBE,WeTV,LINE,卡通農場
2021/1/29 下午 5:34:25,花蓮縣,12 ～ 15 歲,Massage,Instagram,Line,Between,Youtube
2021/1/29 下午 5:40:11,花蓮縣,15 歲以上 ～ 18 歲,ig,YouTube,Spotify,食物語,少女的王座
2021/1/29 下午 5:55:31,花蓮縣,12 ～ 15 歲,youtube,spotify,messenger,discord,facebook
2021/1/29 下午 6:09:03,花蓮縣,15 歲以上 ～ 18 歲,Instagram ,TikTok ,Fb,Line,傳說對決
2021/1/29 下午 6:13:25,花蓮縣,12 ～ 15 歲,Ig ,Messager ,YouTube ,FB,蝦皮
2021/1/29 下午 6:18:09,花蓮縣,15 歲以上 ～ 18 歲,Instagram ,LINE ,Google ,X,X
2021/1/29 下午 6:30:49,花蓮縣,15 歲以上 ～ 18 歲,YouTube ,IG,Netflix ,WEBTOON ,小紅書
2021/1/29 下午 7:21:42,南投縣,15 歲以上 ～ 18 歲,Fb,Google,×,×, 
2021/1/29 下午 7:42:24,花蓮縣,12 ～ 15 歲,一週五分鐘,一週半小時,一週一小時,一小時30分,2小時
2021/1/29 下午 7:43:49,花蓮縣,12 ～ 15 歲,LINE,Instagram ,傳說對決,Messenger ,WEBTOON 
2021/1/29 下午 7:45:04,花蓮縣,12 ～ 15 歲,TikTok,Messenger,LINE,YouTube,Free Fire
2021/1/29 下午 7:53:12,花蓮縣,12 ～ 15 歲,LINE,messenger,WeChat,傳說對決,WEBTOON
2021/1/29 下午 8:02:54,花蓮縣,12 ～ 15 歲,Google,Line,傳說對決,X,X
2021/1/29 下午 8:23:24,花蓮縣,12 ～ 15 歲,IG,大陸抖音,Free Fire,FB,微博
2021/1/29 下午 8:25:09,花蓮縣,12 ～ 15 歲,抖音,YouTube,Line, Google 我,無
2021/1/29 下午 8:26:02,花蓮縣,12 ～ 15 歲,Messenger,電話,LINE,Google News,Google Map
2021/1/29 下午 8:42:28,花蓮縣,12 ～ 15 歲,YouTube,遊戲,斗音,IG,message
2021/1/29 下午 9:02:05,花蓮縣,12 ～ 15 歲,荒野亂鬥,極速領域,傳說對決,神魔之塔,√
2021/1/29 下午 9:10:10,臺北市,12 ～ 15 歲,臉書,傳說對決,IG,Messenger ,Youtube
2021/1/29 下午 9:19:41,花蓮縣,12 ～ 15 歲,LINE ,Youtube,麥塊,Google,植物大戰僵屍
2021/1/29 下午 9:24:29,花蓮縣,12 ～ 15 歲,抖音,YouTube,Facebook,Message,LINE
2021/1/29 下午 9:29:15,宜蘭縣,12 ～ 15 歲,iphone,三星,無,無,無
2021/1/29 下午 11:53:26,桃園市,15 歲以上 ～ 18 歲,Instagram ,Line,YouTube ,Message ,Facebook 
2021/1/30 上午 1:57:15,花蓮縣,15 歲以上 ～ 18 歲,YouTube,Google,Message,Instagram,Facebook
2021/1/30 上午 7:53:55,花蓮縣,12 ～ 15 歲,Youtube,IG,Free fire,FB,Minecraft
2021/1/30 上午 11:12:54,桃園市,15 歲以上 ～ 18 歲,ig,Line,Youtube,Webtoon,蝦皮
2021/1/30 下午 12:13:29,花蓮縣,12 ～ 15 歲,ig,抖音,google,蝦皮,優酷
2021/1/30 下午 12:44:03,花蓮縣,12 ～ 15 歲,IG,YouTube,Messenger,蝦皮,抖音
2021/1/30 下午 6:03:19,臺東縣,15 歲以上 ～ 18 歲,YouTube,Google,微博,Fb,Messenger
2021/1/30 下午 7:35:40,彰化縣,15 歲以上 ～ 18 歲,Instagram,line,x,x,x
2021/1/30 下午 8:10:08,新竹市,15 歲以上 ～ 18 歲,Facebook ,Instagram ,TikTok,Massager ,YouTube 
2021/1/30 下午 10:51:58,臺東縣,15 歲以上 ～ 18 歲,王者榮耀,抖音,FB,Line,X
2021/1/31 上午 10:45:02,彰化縣,15 歲以上 ～ 18 歲,YouTube,IG,×,×,×
2021/1/31 下午 7:11:58,花蓮縣,12 ～ 15 歲,IG,抖音,傳說對決,FB,Line
2021/1/31 下午 7:18:14,宜蘭縣,12 ～ 15 歲,iphone,三星,無,無,無
2021/1/31 下午 8:22:55,花蓮縣,12 ～ 15 歲,微信,王者荣耀,抖音,QQ音乐,淘宝
2021/2/1 上午 12:15:26,苗栗縣,12 ～ 15 歲,Facebook ,Instagram ,Youtube,Pokémon go ,Line
2021/2/1 下午 8:24:47,花蓮縣,15 歲以上 ～ 18 歲,釘圖,決勝時刻,YT music,Line,Chrome
2021/2/1 下午 10:33:38,桃園市,12 ～ 15 歲,ig,messenger,米特,迪卡,google
2021/2/1 下午 10:51:49,新竹市,12 ～ 15 歲,Ig,Messenger,Fb,Yt,google chrome
2021/2/1 下午 11:42:37,屏東縣,15 歲以上 ～ 18 歲,YouTube ,Instagram ,Google ,Messenger ,Line
2021/2/3 下午 6:42:04,臺中市,15 歲以上 ～ 18 歲,IG,YouTube ,BTS WORLD,奇跡暖暖,相機
2021/2/3 下午 11:53:18,雲林縣,15 歲以上 ～ 18 歲,Instagram ,Message ,Facebook ,Spotify,YouTube 
2021/2/9 下午 10:43:00,澎湖縣,15 歲以上 ～ 18 歲,Ig  ,FB ,YouTube ,LINE,Google 
2021/2/9 下午 10:47:25,澎湖縣,12 ～ 15 歲,IG,FB,傳說對決,極速領域,Youtube
2021/2/9 下午 10:47:43,澎湖縣,12 ～ 15 歲,Ig,Messenger,Youtube,Pinterest,MB3
2021/2/9 下午 10:54:12,澎湖縣,12 ～ 15 歲,tiktok,YouTube,寶可夢,pubgmobile,傳說對決
2021/2/9 下午 10:58:32,澎湖縣,15 歲以上 ～ 18 歲,IG,FB,神魔之塔,Line,微信
2021/2/9 下午 11:02:06,澎湖縣,15 歲以上 ～ 18 歲,Yt,Messenger ,Ig,Dcard,Fb
2021/2/9 下午 11:02:10,新北市,15 歲以上 ～ 18 歲,Instagram,YouTube,Dcard,Facebook,立榮航空/華信航空
2021/2/9 下午 11:02:16,澎湖縣,12 ～ 15 歲,Instagram,Facebook,messenger,YouTube,傳說對決
2021/2/9 下午 11:06:13,澎湖縣,15 歲以上 ～ 18 歲,小紅書,WEBTOON,IG,騰訊動漫,愛筆思畫X
2021/2/9 下午 11:07:04,澎湖縣,12 ～ 15 歲,message,ig,facebook,google,youtube
2021/2/9 下午 11:11:01,澎湖縣,15 歲以上 ～ 18 歲,Message,FB,Youtube,IG,Line
2021/2/9 下午 11:11:49,澎湖縣,15 歲以上 ～ 18 歲,Instagram,TikTok,messenger,Facebook,Chrome
2021/2/9 下午 11:13:46,澎湖縣,15 歲以上 ～ 18 歲,遊戲,Yt,聊天程式,Ig,Google
2021/2/9 下午 11:15:25,澎湖縣,15 歲以上 ～ 18 歲,Fb,Youtube,Chrome,傳說對決,激鬥峽谷
2021/2/9 下午 11:19:16,澎湖縣,15 歲以上 ～ 18 歲,Instagram ,YouTube ,Messenger ,Safari,Uber eats
2021/2/9 下午 11:36:56,澎湖縣,15 歲以上 ～ 18 歲,Messenger,LINE,YouTube ,愛奇異,傳說對決
2021/2/9 下午 11:38:15,澎湖縣,15 歲以上 ～ 18 歲,YouTube,英雄聯盟,Messenger,Line,KKBOX
2021/2/11 上午 1:13:28,桃園市,12 ～ 15 歲,Instagram,Messenger,決戰時刻,YouTube,Facebook
2021/2/11 上午 1:14:39,桃園市,12 ～ 15 歲,Instagram,Messenger,Line,傳說對決,剪映
2021/2/11 上午 1:15:19,桃園市,12 ～ 15 歲,傳說對決,YouTube,Messenger,Tik Tok,Facebook
2021/2/11 上午 1:15:55,桃園市,12 ～ 15 歲,Google,YouTube,Messenger,傳說對決,X
2021/2/11 上午 1:17:12,桃園市,12 ～ 15 歲,Instagram,Messenger,YouTube,傳說對決,股市
2021/2/11 上午 1:17:40,桃園市,12 ～ 15 歲,Instagram,Facebook,YouTube,Messenger,X
2021/2/11 上午 1:18:02,桃園市,12 ～ 15 歲,Instagram,YouTube,Messenger,X,X
2021/2/11 上午 1:18:28,桃園市,12 ～ 15 歲,Facebook,Instagram,Google,Messenger,Line
2021/2/11 上午 1:19:56,桃園市,12 ～ 15 歲,YouTube,Instagram,Messenger,Google,Line
2021/2/11 上午 1:21:28,桃園市,12 ～ 15 歲,Free Fire,傳說對決,YouTube,抖音,X
2021/2/11 上午 1:22:14,桃園市,12 ～ 15 歲,YouTube,Bilibili,Facebook,Instagram,pixiv
2021/2/11 上午 1:22:44,桃園市,12 ～ 15 歲,Line,Google,微博,騰訊視頻,騰訊漫畫
2021/2/11 上午 1:23:18,桃園市,12 ～ 15 歲,Instagram,Messenger,quiziet,Tik tok,激鬥峽谷
2021/2/11 上午 1:23:45,桃園市,12 ～ 15 歲,Instagram,YouTube,Google,Facebook,Messenger
2021/2/11 上午 1:24:10,桃園市,12 ～ 15 歲,Google,YouTube,Facebook,Instagram,Google map
2021/2/11 上午 1:24:38,桃園市,12 ～ 15 歲,Instagram,Messenger,YouTube,Line,Facebook
2021/2/11 上午 1:25:34,桃園市,12 ～ 15 歲,YouTube,Instagram,Messenger,X,X
2021/2/11 上午 1:30:14,桃園市,12 ～ 15 歲,Google,YouTube,莘莘教育,X,X
2021/2/11 上午 1:30:37,桃園市,12 ～ 15 歲,Messenger,Instagram,YouTube,Facebook,X
2021/2/11 上午 1:30:56,桃園市,12 ～ 15 歲,Instagram,YouTube,Line,X,X
2021/2/11 上午 1:31:54,桃園市,12 ～ 15 歲,Line,Time Tree,The day before,Zenly,蝦皮購物
2021/2/11 上午 1:32:46,桃園市,12 ～ 15 歲,YouTube,Facebook,Messenger, Sky光·遇,X
2021/2/11 上午 1:33:13,桃園市,12 ～ 15 歲,Messenger,Instagram,Google,YouTube,X
2021/2/11 上午 1:33:36,桃園市,12 ～ 15 歲,YouTube,Messenger,Google,X,X
2021/2/11 上午 1:35:13,桃園市,12 ～ 15 歲,LOL,LOLM,調音器,五子棋,聯盟戰棋
2021/2/11 上午 1:35:41,桃園市,12 ～ 15 歲,Messenger,Instagram,YouTube,LOL,Line
2021/2/11 上午 1:36:08,桃園市,12 ～ 15 歲,Netflix,KKBOX,Instagram,Line,Zenly
2021/2/11 上午 1:36:33,桃園市,12 ～ 15 歲,Facebook,YouTube,Messenger,X,X
2021/2/11 上午 1:37:14,桃園市,12 ～ 15 歲,微博,抖音,Messenger,Instagram,綠洲
2021/2/11 上午 1:37:50,桃園市,12 ～ 15 歲,YouTube,音樂,Messenger,Google,Facebook
2021/2/11 上午 1:38:57,桃園市,12 ～ 15 歲,OH 漫画,Google,YouTube,貪吃時,X
2021/2/11 上午 1:39:53,桃園市,12 ～ 15 歲,傳說對決,YouTube（英雄日常）,Facebook,Tik tok,Instagram
2021/2/11 上午 1:40:24,桃園市,12 ～ 15 歲,Google,YouTube,Facebook,X,X
2021/2/11 上午 1:40:55,桃園市,12 ～ 15 歲,YouTube,Facebook,Instagram,Twitter,Messenger
2021/2/11 上午 1:42:04,桃園市,15 歲以上 ～ 18 歲,傳說對決,第五人格,Line,Instagram,蝦皮購物
2021/2/11 上午 1:42:30,桃園市,15 歲以上 ～ 18 歲,YouTube,X,X,X,X
2021/2/11 上午 1:43:00,桃園市,15 歲以上 ～ 18 歲,Facebook,Instagram,Line,X,X
2021/2/11 上午 1:43:35,桃園市,15 歲以上 ～ 18 歲,Instagram,傳說對決,Facebook,抖音,X
2021/2/11 上午 1:44:22,桃園市,15 歲以上 ～ 18 歲, Yee Music,Webtoon,Netflix,Facebook,Instagram
2021/2/11 上午 1:47:33,桃園市,15 歲以上 ～ 18 歲,Cookie Run: kingdom,Tik tok,Facebook,YouTube,Messenger
2021/2/11 上午 1:47:57,桃園市,15 歲以上 ～ 18 歲,Facebook,Google,抖音,YouTube,Line
2021/2/11 上午 1:49:47,桃園市,12 ～ 15 歲,YouTube,Instagram,Messenger,傳說對決,DManager
2021/2/11 上午 1:54:41,桃園市,15 歲以上 ～ 18 歲,快看,抖音,食物語,小紅書,Instagram
2021/2/11 上午 1:56:31,桃園市,15 歲以上 ～ 18 歲,Facebook,Instagram,傳說對決,X,X
2021/2/11 上午 1:57:57,桃園市,15 歲以上 ～ 18 歲,傳說對決,YouTube,Facebook,PUBG,Instagram
2021/2/11 上午 1:58:32,桃園市,15 歲以上 ～ 18 歲,抖音,傳說對決,Messenger,Facebook,PUBG mobile
2021/2/11 上午 1:59:10,桃園市,15 歲以上 ～ 18 歲,Messenger,Facebook,Instagram,傳說對決,英雄聯盟
2021/2/11 上午 1:59:38,桃園市,15 歲以上 ～ 18 歲,Messenger,Facebook,Instagram,YouTube,小紅書
2021/2/11 上午 2:00:04,桃園市,15 歲以上 ～ 18 歲,抖音,YouTube,Facebook,X,X
2021/2/11 上午 2:00:27,桃園市,15 歲以上 ～ 18 歲,YouTube,Discord,Google,Twitch,X
2021/2/11 上午 2:01:15,桃園市,15 歲以上 ～ 18 歲,Messenger,Instagram,Facebook,絕地求生,X
2021/2/11 上午 2:02:03,桃園市,15 歲以上 ～ 18 歲,韓劇庫,Instagram,抖音,Messenger,X
2021/2/11 上午 2:02:49,桃園市,15 歲以上 ～ 18 歲,微信,Facebook,Instagram,Messenger,Tik tok
2021/2/11 上午 2:03:38,桃園市,15 歲以上 ～ 18 歲,Pinterest,Instagram,Facebook,傳說對決,抖音
2021/2/11 上午 2:04:33,桃園市,15 歲以上 ～ 18 歲,YouTube,Discord,特戰英豪,Messenger,Chrome
2021/2/11 上午 2:05:08,桃園市,15 歲以上 ～ 18 歲,傳說對決,PUBG,Instagram,Facebook,YouTube
2021/2/11 上午 2:05:47,桃園市,15 歲以上 ～ 18 歲,Messenger,Instagram,YouTube,Facebook,Line
2021/2/11 上午 2:07:00,桃園市,15 歲以上 ～ 18 歲,Messenger,Instagram,Facebook,Google,YouTube
2021/2/11 下午 5:38:37,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
2021/2/11 下午 6:54:38,臺北市,15 歲以上 ～ 18 歲,YouTube,Instagram,Facebook,Line,Dcard
2021/2/11 下午 7:18:46,臺北市,12 ～ 15 歲,Youtube,Instagram,Messenger,Line,Facebook
2021/2/14 下午 12:18:18,桃園市,12 ～ 15 歲,youtube,facebook,X,X,X
2021/2/20 下午 5:12:42,桃園市,12 ～ 15 歲,傳說對決,messenger,youtube,minecraft,facebook
2021/2/21 下午 2:17:28,桃園市,12 ～ 15 歲,youtube,messengr,fb,line,google 地圖
2021/2/21 下午 3:36:35,桃園市,12 ～ 15 歲,youtube,instagram,facebook,食物語,webtoon
2021/2/25 下午 1:24:13,桃園市,12 ～ 15 歲,無,無,無,無,無
2021/2/26 下午 5:31:26,新北市,15 歲以上 ～ 18 歲,Instagram ,Messenger ,YouTube ,Dcard,WEBTOON 
2021/3/3 下午 1:43:51,臺南市,15 歲以上 ～ 18 歲,Chrome,Discord,Messenger,Facebook,Youtube
2021/3/3 下午 11:53:16,高雄市,15 歲以上 ～ 18 歲,LINE,IG,FB,YouTube,高雄公車
2021/3/8 下午 12:58:47,臺中市,12 ～ 15 歲,傳說,Facebook,Messenger、Instagram,幾何衝刺,Pintrest
2021/3/8 下午 12:59:26,臺中市,12 ～ 15 歲,Messenger,貓咪大戰爭,YouTube,鬧鐘,Google
2021/3/8 下午 12:59:54,臺中市,12 ～ 15 歲,川說對決,決勝時刻,Facebook,漫畫人,開網路給別人
2021/3/8 下午 1:00:40,臺中市,12 ～ 15 歲,番茄鐘,Facebook,Messenger,discord,Crome（Google）
2021/3/8 下午 1:01:18,臺中市,12 ～ 15 歲,Mixer Box,傳說對決,YouTube,Instagram,抖音
2021/3/8 下午 1:05:31,臺中市,12 ～ 15 歲,Instagram,傳說,Messenger,Line,小紅書
2021/3/8 下午 1:05:59,臺中市,12 ～ 15 歲,傳說,Facebook,Messenger,Line,Instagram
2021/3/8 下午 1:06:31,臺中市,12 ～ 15 歲,Instagram,Messenger,NBA news,Google,TKD News
2021/3/8 下午 1:07:09,臺中市,12 ～ 15 歲,Line,Messenger,和平菁英,YouTube,微信
2021/3/8 下午 1:07:38,臺中市,12 ～ 15 歲,YouTube,Google,貓咪大戰爭,麥塊,Google play
2021/3/15 下午 4:53:24,桃園市,12 ～ 15 歲,YouTube,Twitter,Pixiv,明日方舟,bilibili
2021/3/15 下午 4:53:56,臺中市,12 ～ 15 歲,Messenger,漫咖,YouTube,Facebook,Love Live
2021/3/15 下午 4:54:29,臺中市,12 ～ 15 歲,Instagram,抖音,Facebook,Messenger,Line
2021/3/15 下午 4:55:21,臺中市,12 ～ 15 歲,Messsenger,Facebook,商店,YouTube,傳說對決
2021/3/15 下午 4:55:49,臺中市,12 ～ 15 歲,傳說對決,抖音,Facebook,Instagram,拍照
2021/3/15 下午 4:56:20,臺中市,12 ～ 15 歲,Instagram,Messenger,小紅書,YouTube,抖音
2021/3/15 下午 4:56:44,臺中市,12 ～ 15 歲,Instagram,Messenger,Line,Zenly,鬧鐘
2021/3/15 下午 4:57:14,臺中市,12 ～ 15 歲,Instagram,Messenger,YouTube,Webtoon,小紅書
2021/3/15 下午 4:57:45,臺中市,12 ～ 15 歲,傳說對決,Messenger,Instagram,鬧鐘,YouTube
2021/3/15 下午 4:58:15,臺中市,12 ～ 15 歲,Google 新聞,YouTube,Messenger,we TV,Instagram
2021/3/15 下午 4:58:44,臺中市,12 ～ 15 歲,Instagram,抖音,YouTube,Google,Zenly
2021/3/15 下午 4:59:26,臺中市,12 ～ 15 歲,Instagram,Line,小紅書,蝦皮,Facebook
2021/3/15 下午 5:01:17,臺中市,12 ～ 15 歲,動畫瘋,決勝時刻M,free fire,Facebook,Messenger
2021/3/15 下午 5:01:38,臺中市,12 ～ 15 歲,Messenger,Instagram,YouTube,Facebook,Line
2021/3/15 下午 5:02:06,臺中市,12 ～ 15 歲,決勝時刻,Facebook,YouTube,Instagram,傳說對決
2021/3/15 下午 5:02:38,臺中市,12 ～ 15 歲,YouTube,巴哈姆特動畫風,Facebook,傳說對決,Messenger
2021/3/15 下午 5:03:09,臺中市,12 ～ 15 歲,Line,蘭空,Chorm,YouTube,Webtoon
2021/3/15 下午 5:03:32,臺中市,12 ～ 15 歲,Facebook,傳說對決,Google,Line,Instagram
2021/3/15 下午 5:04:32,臺中市,12 ～ 15 歲,YouTube,Bilibili,Facebook,Cytus II,Instagram
2021/3/15 下午 5:04:57,臺中市,12 ～ 15 歲,Instagram,Line,神魔之塔,YouTube,Google 天氣預報
2021/3/15 下午 5:05:30,臺中市,12 ～ 15 歲,Instagram,相簿,Google,Popdaily,YouTube
2021/3/15 下午 5:06:18,臺中市,12 ～ 15 歲,YouTube,跑跑薑餅人/薑餅人王國,死亡愛麗絲,Bilibili,Twitter
2021/3/15 下午 5:07:13,臺中市,12 ～ 15 歲,Instagram,漫畫,Google,YouTube,傳說
2021/3/15 下午 5:07:38,臺中市,12 ～ 15 歲,Instagram,Dcard,Line,醒圖,網易雲
2021/3/15 下午 5:11:30,臺中市,12 ～ 15 歲,YouTube,Messenger,Facebook,Instagram,畫畫 APP MediBang Paint
2021/3/15 下午 5:12:04,臺中市,12 ～ 15 歲,Facebook,YouTube,Fate/Grand Order,Discord,Instagram
2021/3/15 下午 5:12:41,臺中市,12 ～ 15 歲,Google,YouTube,Messenger,Facebook,計算機
2021/3/15 下午 5:13:14,臺中市,12 ～ 15 歲,Instagram,YouTube,Line,手遊,Google map
2021/3/15 下午 5:22:37,臺中市,12 ～ 15 歲,YouTube,Instagram,PUBG M,Line,Zenly
2021/3/15 下午 5:25:49,臺中市,12 ～ 15 歲,Instagram,Line,YouTube,冰棒,抖音
2021/3/15 下午 5:27:48,臺中市,12 ～ 15 歲,崩壞3,超激動聯盟,少女樂團派對,Crush fever,Messenger
2021/3/15 下午 5:28:21,臺中市,12 ～ 15 歲,Instagram,Google,抖音,快看漫畫,神魔之塔
2021/3/15 下午 5:28:45,臺中市,12 ～ 15 歲,YouTube,Google,Tik tok,Facebook,Messenger
2021/3/15 下午 5:29:38,臺中市,12 ～ 15 歲,Instagram,微博,愛奇藝,YouTube,PUBG M
2021/3/15 下午 5:30:09,臺中市,12 ～ 15 歲,Instagram,YouTube,Messenger,抖音,Line
2021/3/15 下午 5:31:02,臺中市,12 ～ 15 歲,Instagram,YouTube,Facebook,傳說對決,PUBG
2021/3/15 下午 5:31:42,臺中市,12 ～ 15 歲,Discord,Messenger,Facebook,YouTube,Google
2021/3/15 下午 5:32:50,臺中市,12 ～ 15 歲,Facebook,Google,YouTube,蝦皮,明日方舟
2021/3/15 下午 5:33:32,臺中市,12 ～ 15 歲,Instagram,抖音,YouTube,蝦皮,愛奇藝
2021/3/15 下午 5:33:59,臺中市,12 ～ 15 歲,Instagram,Messenger,YouTube,Twitter,Google
2021/3/15 下午 5:34:34,臺中市,12 ～ 15 歲,YouTube,SMC,少女樂團派對,Pixiv,Chrome
2021/3/15 下午 5:34:58,臺中市,12 ～ 15 歲,YouTube,Instagram,Google,大陸抖音,傳說
2021/3/16 下午 4:48:30,新北市,12 ～ 15 歲,Instagram,Messenger,YouTube,Webtoon,Facebook
2021/3/16 下午 4:48:58,新北市,12 ～ 15 歲,Instagram,Facebook,Messenger,YouTube,傳說對決
2021/3/16 下午 4:49:32,新北市,12 ～ 15 歲,Instagram,Messenger,傳說對決,YouTube,明星三缺一
2021/3/16 下午 4:49:57,新北市,12 ～ 15 歲,YouTube,Discord,Facebook,x,x
2021/3/16 下午 4:52:30,新北市,12 ～ 15 歲,Facebook,傳說對決,YouTube,Discord,Instagram
2021/3/16 下午 4:52:58,新北市,12 ～ 15 歲,Instagram,傳說對決,YouTube,Facebook,Google
2021/3/16 下午 4:53:28,新北市,12 ～ 15 歲,傳說對決,Google,Messenger,神魔之塔,部落衝突
2021/3/16 下午 4:53:55,新北市,12 ～ 15 歲,Instagram,神魔之塔,荒野亂鬥,傳說對決,YouTube
2021/3/16 下午 4:58:21,新北市,12 ～ 15 歲,Minecraft,YouTube,Google,Netflix,PUBG
2021/3/16 下午 4:59:07,新北市,12 ～ 15 歲,Messenger,YouTube,Google,動畫瘋,Google play
2021/3/16 下午 5:03:01,新北市,12 ～ 15 歲,Roblox,Duel link,YouTube,Google,Youtuber beat
2021/3/16 下午 5:03:55,新北市,12 ～ 15 歲,自拍（snow）,影片,音樂,抖音視頻,傳說
2021/3/16 下午 5:04:20,新北市,12 ～ 15 歲,Messenger,Edge,LOL,Line,Facebook
2021/3/16 下午 5:04:42,新北市,12 ～ 15 歲,Facebook,Line,Instagram,YouTube,漫咖
2021/3/16 下午 5:05:41,新北市,12 ～ 15 歲,鋼琴,YouTube,畫畫,迪士尼學英文,Line TV
2021/3/16 下午 5:06:05,新北市,12 ～ 15 歲,Instagram,Facebook,傳說對決,Messenger,YouTube
2021/3/16 下午 5:06:38,新北市,12 ～ 15 歲,傳說對決,Crash Fever,Google,怪物彈珠,x
2021/3/16 下午 5:07:01,新北市,12 ～ 15 歲,YouTube,Google,Messenger,Line,Apple store
2021/3/16 下午 5:07:22,新北市,12 ～ 15 歲,Google,Line,YouTube,x,x
2021/3/16 下午 5:09:25,新北市,12 ～ 15 歲,Messenger,YouTube,Instagram,傳說對決,動畫瘋
2021/3/16 下午 5:09:57,新北市,12 ～ 15 歲,YouTube,Twitter,play 商店,Google,Line
2021/3/16 下午 5:10:29,新北市,12 ～ 15 歲,Twitter,YouTube,傳說,Google,遊戲王
2021/3/16 下午 5:10:51,新北市,12 ～ 15 歲,Instagram,Facebook,Line,Messenger,YouTube
2021/3/16 下午 5:11:21,新北市,12 ～ 15 歲,Google,YouTube,Instagram,Messenger,Line
2021/3/16 下午 5:11:41,新北市,12 ～ 15 歲,YouTube,Facebook,x,x,x
2021/3/16 下午 5:12:18,新北市,12 ～ 15 歲,傳說對決,PUBG,x,x,x
2021/3/16 下午 5:12:41,新北市,12 ～ 15 歲,YouTbue,抖音,Facebook,Pixiv,pink
2021/3/16 下午 5:13:00,新北市,12 ～ 15 歲,Facebook,YouTube,抖音,Google,x
2021/3/16 下午 5:13:19,新北市,12 ～ 15 歲,Facebook,YouTube,Chrome,Twitter,Discord
2021/3/16 下午 5:13:58,新北市,12 ～ 15 歲,Facebook、Messenger,Instagram,抖音（大陸）,Line,YouTube
2021/3/16 下午 5:14:26,新北市,12 ～ 15 歲,台北等公車,Instagram,Facebook,LIKE,YouTube
2021/3/16 下午 5:34:41,新北市,12 ～ 15 歲,傳說對決,Facebook,極速領域,Instagram,YouTube
2021/3/16 下午 5:37:03,新北市,12 ～ 15 歲,台北等公車,YouTube,Instagram,Messenger,PUBG
2021/3/16 下午 5:38:25,新北市,12 ～ 15 歲,湯姆貓與傑利鼠,Subway surf,Line,YouTube,yandere simulator
2021/3/16 下午 5:39:01,新北市,12 ～ 15 歲,Instagram,YouTube,臺北等公車,Line,Messenger
2021/3/16 下午 5:39:49,新北市,12 ～ 15 歲,Facebook,World of Tanks Blitz,Instagram,World box,Messenger
2021/3/16 下午 5:40:21,新北市,12 ～ 15 歲,Google Chrome,Instagram,小紅書,YouTube,淘寶
2021/3/16 下午 5:40:55,新北市,12 ～ 15 歲,Instagram,微讀聖經,LINE,Facebook,Messenger
2021/3/16 下午 5:41:20,新北市,12 ～ 15 歲,傳說對決,Facebook,Google,Instagram,Messenger
2021/3/16 下午 5:41:56,新北市,12 ～ 15 歲,第五人格,Line,Google play 圖書,Google,Messenger
2021/3/16 下午 5:42:15,新北市,12 ～ 15 歲,Facebook,Google,Line,Messenger,x
2021/3/16 下午 5:42:36,新北市,12 ～ 15 歲,傳說對決,Facebook,Instagram,Messenger,YouTube
2021/3/16 下午 5:43:25,新北市,12 ～ 15 歲,Line,Facebook,豬遊記,聊天室 Messenger,Snow
2021/3/16 下午 5:43:53,新北市,12 ～ 15 歲,Facebook,傳說對決,Instagram,YouTube,x
2021/3/16 下午 5:44:11,新北市,12 ～ 15 歲,Facebook,Instagram,Messenger,YouTube,x
2021/3/16 下午 5:44:31,新北市,12 ～ 15 歲,Instagram,Messenger,YouTube,Google,x
