"prv_code","city_code","area_code","li_code","dept_code","agree_ticket","agree_ticket_percent","disagree_ticket","disagree_ticket_percent","agree_to_votable","vote_result"
"10","007","00","0014","070",308,39.9,464,60.1,14.19,"N"
"10","007","00","0000","080",7265,50.14,7225,49.86,18.8,"N"
"10","007","00","0001","080",663,50.04,662,49.96,20.86,"N"
"10","007","00","0002","080",317,46.89,359,53.11,18.03,"N"
"10","007","00","0003","080",463,50.22,459,49.78,19.88,"N"
"10","007","00","0004","080",189,41.45,267,58.55,17.68,"N"
"10","007","00","0005","080",239,42.83,319,57.17,16.84,"N"
"10","007","00","0006","080",369,49.4,378,50.6,19.5,"N"
"10","007","00","0007","080",129,43.88,165,56.12,17.89,"N"
"10","007","00","0008","080",362,49.59,368,50.41,20.08,"N"
"10","007","00","0009","080",1000,53.16,881,46.84,20.29,"N"
"10","007","00","0010","080",560,49.21,578,50.79,18.11,"N"
"10","007","00","0011","080",896,52.49,811,47.51,19.47,"N"
"10","007","00","0012","080",207,39.88,312,60.12,15.45,"N"
"10","007","00","0013","080",604,52.39,549,47.61,18.31,"N"
"10","007","00","0014","080",177,57.1,133,42.9,19.89,"N"
"10","007","00","0015","080",158,46.61,181,53.39,16.95,"N"
"10","007","00","0016","080",346,52.11,318,47.89,18.15,"N"
"10","007","00","0017","080",314,54.14,266,45.86,16.63,"N"
"10","007","00","0018","080",272,55.4,219,44.6,16.95,"N"
"10","007","00","0000","090",3238,44.88,3977,55.12,16.1,"N"
"10","007","00","0001","090",283,48.21,304,51.79,16.24,"N"
"10","007","00","0002","090",222,47.13,249,52.87,16.01,"N"
"10","007","00","0003","090",336,49.63,341,50.37,19.16,"N"
"10","007","00","0004","090",395,46.04,463,53.96,16.11,"N"
"10","007","00","0005","090",380,42.6,512,57.4,16.21,"N"
"10","007","00","0006","090",356,53.94,304,46.06,21.95,"N"
"10","007","00","0007","090",130,43.19,171,56.81,14.82,"N"
"10","007","00","0008","090",166,40.29,246,59.71,14.54,"N"
"10","007","00","0009","090",88,40.37,130,59.63,13.6,"N"
"10","007","00","0010","090",263,41.75,367,58.25,15.98,"N"
"10","007","00","0011","090",169,48.84,177,51.16,17.51,"N"
"10","007","00","0012","090",143,37.43,239,62.57,12.55,"N"
"10","007","00","0013","090",101,39.45,155,60.55,11.83,"N"
"10","007","00","0014","090",105,32.41,219,67.59,10.87,"N"
"10","007","00","0015","090",101,50.25,100,49.75,17.53,"N"
"10","007","00","0000","100",19710,49.11,20426,50.89,19.41,"N"
"10","007","00","0001","100",228,55.75,181,44.25,21.69,"N"
"10","007","00","0002","100",547,50.6,534,49.4,20.39,"N"
"10","007","00","0003","100",677,51.88,628,48.12,22.07,"N"
"10","007","00","0004","100",555,50.64,541,49.36,21.85,"N"
"10","007","00","0005","100",152,45.24,184,54.76,21.87,"N"
"10","007","00","0006","100",555,50.27,549,49.73,19.93,"N"
"10","007","00","0007","100",173,49.57,176,50.43,22.94,"N"
"10","007","00","0008","100",136,47.39,151,52.61,23.82,"N"
"10","007","00","0009","100",331,48.6,350,51.4,18.31,"N"
"10","007","00","0010","100",1058,46.73,1206,53.27,18.99,"N"
"10","007","00","0011","100",496,52.1,456,47.9,20.16,"N"
"10","007","00","0012","100",842,48.2,905,51.8,20.43,"N"
"10","007","00","0013","100",1044,49.29,1074,50.71,19.65,"N"
"10","007","00","0014","100",937,51.37,887,48.63,20.17,"N"
"10","007","00","0015","100",235,40.94,339,59.06,14.03,"N"
"10","007","00","0016","100",349,47.23,390,52.77,16.71,"N"
"10","007","00","0017","100",509,48.11,549,51.89,18.9,"N"
"10","007","00","0018","100",1206,50.97,1160,49.03,19.75,"N"
"10","007","00","0019","100",616,51.9,571,48.1,21.39,"N"
"10","007","00","0020","100",301,43.81,386,56.19,15.6,"N"
"10","007","00","0021","100",497,47.24,555,52.76,20,"N"
"10","007","00","0022","100",686,49.85,690,50.15,20.85,"N"
"10","007","00","0023","100",384,43,509,57,16.25,"N"
"10","007","00","0024","100",819,53.63,708,46.37,22.56,"N"
"10","007","00","0025","100",463,52.85,413,47.15,20.1,"N"
"10","007","00","0026","100",560,54.63,465,45.37,20.76,"N"
"10","007","00","0027","100",442,45.71,525,54.29,15.85,"N"
"10","007","00","0028","100",211,36.25,371,63.75,12.87,"N"
"10","007","00","0029","100",160,37.3,269,62.7,13.48,"N"
"10","007","00","0030","100",161,57.71,118,42.29,22.58,"N"
"10","007","00","0031","100",337,47.2,377,52.8,17.07,"N"
"10","007","00","0032","100",366,47.53,404,52.47,16.83,"N"
"10","007","00","0033","100",285,39.97,428,60.03,14.71,"N"
"10","007","00","0034","100",284,46.48,327,53.52,16.34,"N"
"10","007","00","0035","100",314,51.82,292,48.18,17.96,"N"
"10","007","00","0036","100",401,48.08,433,51.92,17.73,"N"
"10","007","00","0037","100",620,50.04,619,49.96,21,"N"
"10","007","00","0038","100",547,55.36,441,44.64,24.18,"N"
"10","007","00","0039","100",525,47.38,583,52.62,21.44,"N"
"10","007","00","0040","100",281,49.82,283,50.18,21.16,"N"
"10","007","00","0041","100",420,51.28,399,48.72,19.28,"N"
"10","007","00","0000","110",7686,48.93,8021,51.07,17.18,"N"
"10","007","00","0001","110",215,44.06,273,55.94,18.6,"N"
"10","007","00","0002","110",147,49.83,148,50.17,23.6,"N"
"10","007","00","0003","110",344,53.42,300,46.58,19.33,"N"
"10","007","00","0004","110",101,58.05,73,41.95,24.05,"N"
"10","007","00","0005","110",643,53.99,548,46.01,19.16,"N"
"10","007","00","0006","110",441,52.44,400,47.56,20.27,"N"
"10","007","00","0007","110",663,56.23,516,43.77,19.24,"N"
"10","007","00","0008","110",182,40.81,264,59.19,12.81,"N"
"10","007","00","0009","110",465,46.88,527,53.13,15.41,"N"
"10","007","00","0010","110",469,51.94,434,48.06,19.28,"N"
"10","007","00","0011","110",425,51.52,400,48.48,18.5,"N"
"10","007","00","0012","110",114,39.86,172,60.14,14,"N"
"10","007","00","0013","110",279,45.74,331,54.26,15.25,"N"
"10","007","00","0014","110",389,51.46,367,48.54,17.08,"N"
"10","007","00","0015","110",124,41.33,176,58.67,15.18,"N"
"10","007","00","0016","110",174,37.99,284,62.01,12.86,"N"
"10","007","00","0017","110",336,47.86,366,52.14,18.3,"N"
"10","007","00","0018","110",777,48.65,820,51.35,16.91,"N"
"10","007","00","0019","110",104,50.49,102,49.51,16.22,"N"
"10","007","00","0020","110",256,54.01,218,45.99,20.48,"N"
"10","007","00","0021","110",110,46.61,126,53.39,15.85,"N"
"10","007","00","0022","110",234,52.7,210,47.3,17.18,"N"
"10","007","00","0023","110",145,37.56,241,62.44,11.6,"N"
"10","007","00","0024","110",296,41.81,412,58.19,13.65,"N"
"10","007","00","0025","110",253,44.7,313,55.3,14.77,"N"
"10","007","00","0000","120",6197,47.95,6726,52.05,17.87,"N"
"10","007","00","0001","120",123,45.72,146,54.28,15.07,"N"
"10","007","00","0002","120",217,59.29,149,40.71,20.93,"N"
"10","007","00","0003","120",138,49.82,139,50.18,18.45,"N"
"10","007","00","0004","120",288,54.03,245,45.97,19.25,"N"
"10","007","00","0005","120",283,54.21,239,45.79,19.54,"N"
"10","007","00","0006","120",212,45.79,251,54.21,17.29,"N"
"10","007","00","0007","120",279,43.32,365,56.68,15.89,"N"
"10","007","00","0008","120",103,40.55,151,59.45,17.76,"N"
"10","007","00","0009","120",684,52.45,620,47.55,20.92,"N"
"10","007","00","0010","120",430,46.44,496,53.56,18.2,"N"
"10","007","00","0011","120",182,45.05,222,54.95,17.48,"N"
"10","007","00","0012","120",190,42.13,261,57.87,17.18,"N"
"10","007","00","0013","120",408,50.62,398,49.38,21.01,"N"
"10","007","00","0014","120",461,49.2,476,50.8,19.22,"N"
"10","007","00","0015","120",204,35.66,368,64.34,13.08,"N"
"10","007","00","0016","120",209,47.18,234,52.82,16.18,"N"
"10","007","00","0017","120",325,51.75,303,48.25,17.92,"N"
"10","007","00","0018","120",743,48.63,785,51.37,17.78,"N"
"10","007","00","0019","120",189,43.75,243,56.25,14.87,"N"
