選舉類型,地區,姓名,當選註記,,,,,,
2006直轄市議員選舉,臺北市第3選區,張茂楠,*,,,,,,
2006直轄市議員選舉,臺北市第3選區,楊實秋,*,,,,,,
2006直轄市議員選舉,臺北市第4選區,黃向羣,*,,,,,,
2006直轄市議員選舉,臺北市第4選區,李文英,*,,,,,,
2006直轄市議員選舉,臺北市第4選區,蔡坤龍,*,,,,,,
2006直轄市議員選舉,臺北市第4選區,陳玉梅,*,,,,,,
2006直轄市議員選舉,臺北市第4選區,簡余晏,*,,,,,,
2006直轄市議員選舉,臺北市第4選區,林晉章,*,,,,,,
2006直轄市議員選舉,臺北市第4選區,王浩,*,,,,,,
2006直轄市議員選舉,臺北市第5選區,侯冠群,*,,,,,,
2006直轄市議員選舉,臺北市第5選區,周威佑,*,,,,,,
2006直轄市議員選舉,臺北市第5選區,陳嘉銘,*,,,,,,
2006直轄市議員選舉,臺北市第5選區,李仁人,*,,,,,,
2006直轄市議員選舉,臺北市第5選區,劉耀仁,*,,,,,,
2006直轄市議員選舉,臺北市第5選區,顏聖冠,*,,,,,,
2006直轄市議員選舉,臺北市第5選區,吳志剛,*,,,,,,
2006直轄市議員選舉,臺北市第6選區,歐陽龍,*,,,,,,
2006直轄市議員選舉,臺北市第6選區,徐佳青,*,,,,,,
2006直轄市議員選舉,臺北市第6選區,厲耿桂芳,*,,,,,,
2006直轄市議員選舉,臺北市第6選區,林奕華,*,,,,,,
2006直轄市議員選舉,臺北市第6選區,李慶鋒,*,,,,,,
2006直轄市議員選舉,臺北市第6選區,秦儷舫,*,,,,,,
2006直轄市議員選舉,臺北市第6選區,周柏雅,*,,,,,,
2006直轄市議員選舉,臺北市第6選區,蔣乃辛,*,,,,,,
2006直轄市議員選舉,臺北市第6選區,陳錦祥,*,,,,,,
2006直轄市議員選舉,臺北市第6選區,李新,*,,,,,,
2006直轄市議員選舉,臺北市第6選區,李慶元,*,,,,,,
2006直轄市議員選舉,高雄市第1選區,陳漢昇,*,,,,,,
2006直轄市議員選舉,高雄市第1選區,李喬如,*,,,,,,
2006直轄市議員選舉,高雄市第1選區,張省吾,*,,,,,,
2006直轄市議員選舉,高雄市第1選區,連立堅,*,,,,,,
2006直轄市議員選舉,高雄市第1選區,陳美雅,*,,,,,,
2006直轄市議員選舉,高雄市第2選區,黃石龍,*,,,,,,
